Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","356","India","5110","Area","6621","Arable land","1962","1962","1000 ha","156700","A","Official figure",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1963","1963","1000 ha","157470","A","Official figure",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1964","1964","1000 ha","157732","A","Official figure",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1965","1965","1000 ha","158216","A","Official figure",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1966","1966","1000 ha","158590","A","Official figure",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1967","1967","1000 ha","159780","A","Official figure",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1968","1968","1000 ha","160069","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1969","1969","1000 ha","159976","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1970","1970","1000 ha","160560","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1971","1971","1000 ha","159756","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1972","1972","1000 ha","160186","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1973","1973","1000 ha","161044","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1974","1974","1000 ha","161501","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1975","1975","1000 ha","161838","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1976","1976","1000 ha","162057","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1977","1977","1000 ha","162059","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1978","1978","1000 ha","163239","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1979","1979","1000 ha","163444","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1980","1980","1000 ha","162854","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1981","1981","1000 ha","162912","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1982","1982","1000 ha","163246","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1983","1983","1000 ha","162732","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1984","1984","1000 ha","163618","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1985","1985","1000 ha","163540","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1986","1986","1000 ha","163409","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1987","1987","1000 ha","163205","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1988","1988","1000 ha","162868","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1989","1989","1000 ha","163476","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1990","1990","1000 ha","163459","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1991","1991","1000 ha","163182","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1992","1992","1000 ha","162706","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1993","1993","1000 ha","162586","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1994","1994","1000 ha","162525","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1995","1995","1000 ha","161911","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1996","1996","1000 ha","161025","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1997","1997","1000 ha","161601","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1998","1998","1000 ha","161409","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1999","1999","1000 ha","160975","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","2000","2000","1000 ha","160930","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","2001","2001","1000 ha","160325","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","2002","2002","1000 ha","160432","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","2003","2003","1000 ha","159799","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","2004","2004","1000 ha","159681","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","2005","2005","1000 ha","159444","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","2006","2006","1000 ha","158662","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","2007","2007","1000 ha","158022","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","2008","2008","1000 ha","157995","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","2009","2009","1000 ha","157924","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","2010","2010","1000 ha","157009","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","2011","2011","1000 ha","156979","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","2012","2012","1000 ha","156546","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","2013","2013","1000 ha","156442","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","2014","2014","1000 ha","156463","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","2015","2015","1000 ha","156413","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","2016","2016","1000 ha","156317","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","2017","2017","1000 ha","155895.136","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","2018","2018","1000 ha","155477.911","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","2019","2019","1000 ha","155369.0764","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","2020","2020","1000 ha","154447.948","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","2021","2021","1000 ha","154447.948","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","2022","2022","1000 ha","154447.948","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1961","1961","1000 ha","5180","A","Official figure",""
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1962","1962","1000 ha","5700","A","Official figure",""
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1963","1963","1000 ha","4580","A","Official figure",""
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1964","1964","1000 ha","4386","A","Official figure",""
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1965","1965","1000 ha","4218","A","Official figure",""
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1966","1966","1000 ha","4130","A","Official figure",""
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1967","1967","1000 ha","4010","A","Official figure",""
