Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","1991","1991","t","5320.7951","B","Time series break"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","1992","1992","t","9824.7104","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","1993","1993","t","14328.6256","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","1994","1994","t","18832.5409","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","1995","1995","t","23336.4562","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","1996","1996","t","27840.3714","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","1997","1997","t","32344.2867","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","1998","1998","t","43582.5753","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","1999","1999","t","39287.7087","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","2000","2000","t","34111.774","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","2001","2001","t","26230.868","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","2002","2002","t","31299.307","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","2003","2003","t","31575.622","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","2004","2004","t","33597.561","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","2005","2005","t","37417.319","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","2006","2006","t","46531.5","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","2007","2007","t","52183.551","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","2008","2008","t","65803.509","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","2009","2009","t","62268.602","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","2010","2010","t","69500.21","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","2011","2011","t","82399.15","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","2012","2012","t","140319.2026","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","2013","2013","t","157650.3961","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","2014","2014","t","166327.9991","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","2015","2015","t","157662.2054","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","2016","2016","t","155645.4031","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","2017","2017","t","111377.3073","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","2018","2018","t","218848.944","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","2019","2019","t","198892.1374","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","2020","2020","t","71803.4468","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","2021","2021","t","209042.4794","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","2022","2022","t","223197.0391","I","Imputed value"
