Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","764","Thailand","5159","Use per area of cropland","1357","Pesticides (total)","2003","2003","kg/ha","2.4","E","Estimated value","Estimated Value"
"RP","Pesticides Use","764","Thailand","5159","Use per area of cropland","1357","Pesticides (total)","2004","2004","kg/ha","3.06","E","Estimated value","Estimated Value"
"RP","Pesticides Use","764","Thailand","5159","Use per area of cropland","1357","Pesticides (total)","2005","2005","kg/ha","2.03","E","Estimated value","Estimated Value"
"RP","Pesticides Use","764","Thailand","5159","Use per area of cropland","1357","Pesticides (total)","2006","2006","kg/ha","1.9","E","Estimated value","Estimated Value"
"RP","Pesticides Use","764","Thailand","5159","Use per area of cropland","1357","Pesticides (total)","2007","2007","kg/ha","3.07","E","Estimated value","Estimated Value"
"RP","Pesticides Use","764","Thailand","5159","Use per area of cropland","1357","Pesticides (total)","2008","2008","kg/ha","3","E","Estimated value","Estimated Value"
"RP","Pesticides Use","764","Thailand","5159","Use per area of cropland","1357","Pesticides (total)","2009","2009","kg/ha","3.1","E","Estimated value","Estimated Value"
"RP","Pesticides Use","764","Thailand","5159","Use per area of cropland","1357","Pesticides (total)","2010","2010","kg/ha","3.13","E","Estimated value","Estimated Value"
"RP","Pesticides Use","764","Thailand","5159","Use per area of cropland","1357","Pesticides (total)","2011","2011","kg/ha","3.96","E","Estimated value","Estimated Value"
"RP","Pesticides Use","764","Thailand","5159","Use per area of cropland","1357","Pesticides (total)","2012","2012","kg/ha","3.17","E","Estimated value","Estimated Value"
"RP","Pesticides Use","764","Thailand","5159","Use per area of cropland","1357","Pesticides (total)","2013","2013","kg/ha","0.37","E","Estimated value","Estimated Value"
"RP","Pesticides Use","764","Thailand","5159","Use per area of cropland","1357","Pesticides (total)","2014","2014","kg/ha","0.99","E","Estimated value","Estimated Value"
"RP","Pesticides Use","764","Thailand","5159","Use per area of cropland","1357","Pesticides (total)","2015","2015","kg/ha","1.19","E","Estimated value","Estimated Value"
"RP","Pesticides Use","764","Thailand","5159","Use per area of cropland","1357","Pesticides (total)","2016","2016","kg/ha","1.39","E","Estimated value","Estimated Value"
"RP","Pesticides Use","764","Thailand","5159","Use per area of cropland","1357","Pesticides (total)","2017","2017","kg/ha","1.54","E","Estimated value","Estimated Value"
